Company,Product,Size,Currency,Prices,Price_Category
Nestlé,Toffee Crisp Chocolate,38G,SAR,2.65,Low Price
Berain,Water,40 × 330 Ml,SAR,15.7,Medium Price
Evian,Natural Mineral Water,1.25L,SAR,12.25,Medium Price
Nature Valley,Crunchy Oats & Coconut Bars,42G,SAR,2.5,Low Price
Bazooka,Candy Triple Push Pop,34G,SAR,8.25,Medium Price
Al Baker,Patent Flour For All Purpose,1Kg,SAR,3.95,Low Price
Oreo,Golden Milk Cookie,38G,SAR,1.05,Low Price
Kellogg's,Coco Pops Snack Bar,20G,SAR,2.65,Low Price
KitKat,Crunchy Cookies,19.5G,SAR,1.6,Low Price
Cofique,Iced Caramel Coffee,24G,SAR,3.5,Low Price
Aquafina,Drinking Water,500 Ml,SAR,0.8,Low Price
Godiva,Dark Chocolate,30G,SAR,3.95,Low Price
Ulker,Biskrem Cocoa Cream Filled Cookie,16 x 40G,SAR,8.95,Medium Price
Bazooka,Flip 'N' Dip Cola,25G,SAR,6.3,Medium Price
Bazooka,Flip 'N' Dip Black Currant,25G,SAR,6.3,Medium Price
Lusine,Strawberry Cup Cake,540G,SAR,0.65,Low Price
Lusine,Chocolate Cup Cake,540G,SAR,0.65,Low Price
Lusine,Vanilla Cup Cake,540G,SAR,0.65,Low Price
Berain,Drinking Water,5L,SAR,4.5,Low Price
KitKat,Coconut 5 Fingers,40G,SAR,3.65,Low Price
KitKat,Caramelized Hazelnut 5 Fingers,40G,SAR,3.65,Low Price
Nescafe,3 In 1 Hazelnut Instant Coffee,17G,SAR,1.6,Low Price
Almarai,Nijoom Strawberry Flavored Long Life Milk,150 Ml,SAR,1.0,Low Price
Almarai,Nijoom Chocolate Flavored Long Life Milk,150 Ml,SAR,1.0,Low Price
Naqi,Water Bottle,200 Ml,SAR,0.4,Low Price
KitKat,Hazelnut Crunch,23G,SAR,1.6,Low Price
Holsten,Malt Beverage Mojito Flavor,330 Ml,SAR,5.5,Medium Price
Oreo,Cake Cadbury Coated,12 × 24G,SAR,8.95,Medium Price
Mcvitie's,Digestive Creams Vanilla Biscuit,44G,SAR,1.05,Low Price
Almarai,Nijoom Full Fat Plain Milk,150 Ml,SAR,1.0,Low Price
ALICAFE,Signature 3 In 1 French Roast Instant Coffee,24 x 25G,SAR,25.75,High Price
Baja,Instant Arabic Coffee Normal Flavor,30G,SAR,4.15,Low Price
Nada,Danya Long Life Milk Full Cream,18 × 200 Ml,SAR,17.95,Medium Price
Maggi,Vegetable Stocks Cubes,20G,SAR,0.8,Low Price
Nada,Azzoz Long Life Milk Full Cream,18 × 200 Ml,SAR,17.95,Medium Price
Galaxy,White Chocolate,38G,SAR,3.1,Low Price
Baja,Instant Arabic Coffee Cloves Flavor,30G,SAR,4.15,Low Price
Cadbury,Dairy Milk Oreo,38G,SAR,3.15,Low Price
Karak Tea,Instant Premix with Saffron,20G,SAR,3.15,Low Price
Doritos,Sweet Chilli Pepper,25G,SAR,1.05,Low Price
Almarai,Nijoom Vanilla Flavored Long Life Milk,150 Ml,SAR,1.0,Low Price
Twix,Extra Chocolate,75G,SAR,3.75,Low Price
Almarai,Nijoom Banana Flavored Long Life Milk,150 Ml,SAR,1.0,Low Price
Karak Tea,Instant Premix with Cardamom,20G,SAR,2.1,Low Price
Effect,Energy Drink,250 Ml,SAR,7.5,Medium Price
Galaxy,Chocolate With Hazelnut,40G,SAR,3.1,Low Price
Extra,Tab Envelope Peppermint Gum,32G,SAR,4.25,Low Price
Tropicana,Frutz Mango Peach Cocktail Sparkling Drink,300 Ml,SAR,3.15,Low Price
Reese's,Nut Bar With Chocolate Milk,47G,SAR,3.65,Low Price
Moussy,Malt Beverage Ice Berry Flavor,330 Ml,SAR,5.0,Medium Price
Galaxy,Chocolate With Fruit & Nut,40G,SAR,3.1,Low Price
Almarai,Full Fat Evaporated Milk,170G,SAR,2.4,Low Price
Twix,Top Chocolate,21G,SAR,1.05,Low Price
